,CORD_ID,CANUTITO_ID,START_POS,END_POS,NOTES,CREATED_BY,CREATED_ON,CHANGED_BY,CHANGED_ON,CANUTITO_LENGTH,KHIPU_ID
0,3032503,1000000,68.0,71.0,,cbrezine,2006-06-28 23:18:55,,0000-00-00 00:00:00,3.0,0
1,3032504,1000001,70.0,73.0,,cbrezine,2006-06-28 23:20:11,cbrezine,2006-06-28 23:32:20,3.0,0
2,3032505,1000002,70.5,73.0,,cbrezine,2006-06-28 23:22:42,cbrezine,2006-06-28 23:32:50,2.5,0
3,3032506,1000003,72.0,75.0,,cbrezine,2006-06-28 23:24:05,cbrezine,2006-06-28 23:33:05,3.0,0
4,3032506,1000004,72.0,75.0,,cbrezine,2006-06-28 23:24:12,,0000-00-00 00:00:00,3.0,0
5,3032507,1000005,78.0,80.5,,cbrezine,2006-06-28 23:25:37,cbrezine,2006-06-28 23:33:19,2.5,0
6,3032510,1000006,74.0,76.5,,cbrezine,2006-06-28 23:29:02,cbrezine,2006-06-28 23:33:36,2.5,0
7,3032511,1000007,67.0,70.0,,cbrezine,2006-06-28 23:31:03,cbrezine,2006-06-28 23:33:48,3.0,0
8,3032512,1000008,73.0,76.0,,cbrezine,2006-06-28 23:35:27,cbrezine,2006-06-29 00:39:59,3.0,0
9,3032513,1000009,68.0,70.0,,cbrezine,2006-06-28 23:36:54,,0000-00-00 00:00:00,2.0,0
10,3032515,1000010,67.5,70.0,,cbrezine,2006-06-28 23:39:09,,0000-00-00 00:00:00,2.5,0
11,3032516,1000011,73.5,76.5,,cbrezine,2006-06-28 23:40:38,,0000-00-00 00:00:00,3.0,0
12,3032516,1000012,73.5,76.5,,cbrezine,2006-06-28 23:40:46,,0000-00-00 00:00:00,3.0,0
13,3032517,1000013,72.0,74.0,,cbrezine,2006-06-28 23:42:03,,0000-00-00 00:00:00,2.0,0
14,3032518,1000014,74.0,76.5,,cbrezine,2006-06-28 23:43:18,,0000-00-00 00:00:00,2.5,0
15,3032519,1000015,65.5,68.5,,cbrezine,2006-06-28 23:44:18,,0000-00-00 00:00:00,3.0,0
16,3032520,1000016,70.0,73.5,,cbrezine,2006-06-28 23:46:20,,0000-00-00 00:00:00,3.5,0
17,3032522,1000017,75.5,78.5,,cbrezine,2006-06-28 23:48:45,,0000-00-00 00:00:00,3.0,0
18,3032523,1000018,66.5,69.0,,cbrezine,2006-06-28 23:50:00,,0000-00-00 00:00:00,2.5,0
19,3032524,1000019,70.5,73.0,,cbrezine,2006-06-28 23:51:32,,0000-00-00 00:00:00,2.5,0
20,3032526,1000020,72.5,75.5,,cbrezine,2006-06-28 23:53:59,,0000-00-00 00:00:00,3.0,0
21,3032528,1000021,72.0,75.0,,cbrezine,2006-06-28 23:55:58,,0000-00-00 00:00:00,3.0,0
22,3032529,1000022,68.5,71.5,,cbrezine,2006-06-28 23:57:20,,0000-00-00 00:00:00,3.0,0
23,3032530,1000023,69.5,72.5,,cbrezine,2006-06-28 23:58:34,,0000-00-00 00:00:00,3.0,0
24,3032532,1000024,73.5,75.5,,cbrezine,2006-06-29 00:00:31,,0000-00-00 00:00:00,2.0,0
25,3032541,1000025,70.0,73.0,,cbrezine,2006-06-29 00:09:34,,0000-00-00 00:00:00,3.0,0
26,3032542,1000026,65.5,69.0,,cbrezine,2006-06-29 00:10:45,,0000-00-00 00:00:00,3.5,0
27,3032543,1000027,71.0,74.5,,cbrezine,2006-06-29 00:11:59,,0000-00-00 00:00:00,3.5,0
28,3032546,1000028,67.5,70.5,,cbrezine,2006-06-29 00:14:58,cbrezine,2006-06-29 00:41:35,3.0,0
29,3032547,1000029,68.0,71.5,,cbrezine,2006-06-29 00:15:52,cbrezine,2006-06-29 00:41:54,3.5,0
30,3032548,1000030,71.5,75.0,,cbrezine,2006-06-29 00:17:00,cbrezine,2006-06-29 00:42:32,3.5,0
31,3032549,1000031,70.0,73.5,,cbrezine,2006-06-29 00:18:21,cbrezine,2006-06-29 00:42:48,3.5,0
32,3032551,1000032,70.0,73.5,,cbrezine,2006-06-29 00:20:31,cbrezine,2006-06-29 00:43:09,3.5,0
33,3032551,1000033,70.0,73.5,,cbrezine,2006-06-29 00:20:38,,0000-00-00 00:00:00,3.5,0
34,3032552,1000034,71.0,74.0,,cbrezine,2006-06-29 00:21:56,cbrezine,2006-06-29 00:43:24,3.0,0
35,3032556,1000035,74.0,77.0,,cbrezine,2006-06-29 00:26:25,cbrezine,2006-06-29 00:43:45,3.0,0
36,3032557,1000036,68.0,71.0,,cbrezine,2006-06-29 00:27:30,cbrezine,2006-06-29 00:43:59,3.0,0
37,3032558,1000037,71.0,74.0,,cbrezine,2006-06-29 00:28:59,cbrezine,2006-06-29 00:44:11,3.0,0
38,3032559,1000038,70.0,73.0,,cbrezine,2006-06-29 00:30:13,cbrezine,2006-06-29 00:44:25,3.0,0
39,3032562,1000039,72.0,75.0,,cbrezine,2006-06-29 00:32:59,cbrezine,2006-06-29 00:44:46,3.0,0
40,3032564,1000040,75.0,78.5,,cbrezine,2006-06-29 00:34:59,cbrezine,2006-06-29 00:45:03,3.5,0
41,3032565,1000041,71.0,74.0,,cbrezine,2006-06-29 00:36:06,cbrezine,2006-06-29 00:45:13,3.0,0
42,3032568,1000042,70.5,74.0,,cbrezine,2006-06-29 00:47:01,cbrezine,2006-06-29 00:48:15,3.5,0
43,3032568,1000043,70.5,74.0,,cbrezine,2006-06-29 00:47:15,,0000-00-00 00:00:00,3.5,0
44,3032568,1000044,70.5,74.0,,cbrezine,2006-06-29 00:47:19,,0000-00-00 00:00:00,3.5,0
45,3032573,1000045,78.5,81.5,,cbrezine,2006-06-29 01:32:16,cbrezine,2006-06-29 01:38:27,3.0,0
46,3032573,1000046,78.5,81.5,,cbrezine,2006-06-29 01:32:26,,0000-00-00 00:00:00,3.0,0
47,3032573,1000047,78.5,81.5,,cbrezine,2006-06-29 01:32:29,,0000-00-00 00:00:00,3.0,0
48,3032573,1000048,78.5,81.5,,cbrezine,2006-06-29 01:33:41,,0000-00-00 00:00:00,3.0,0
49,3032575,1000049,68.0,71.0,,cbrezine,2006-06-29 01:36:11,cbrezine,2006-06-29 01:37:34,3.0,0
50,3032575,1000050,68.0,71.0,,cbrezine,2006-06-29 01:36:29,,0000-00-00 00:00:00,3.0,0
51,3032575,1000051,68.0,71.0,,cbrezine,2006-06-29 01:36:59,,0000-00-00 00:00:00,3.0,0
52,3032576,1000052,73.0,76.0,,cbrezine,2006-06-29 01:40:05,cbrezine,2006-06-29 20:35:21,3.0,0
53,3032577,1000053,69.0,72.5,,cbrezine,2006-06-29 20:36:28,,0000-00-00 00:00:00,3.5,0
54,3032582,1000054,76.0,79.0,,cbrezine,2006-06-29 20:42:57,,0000-00-00 00:00:00,3.0,0
55,3032587,1000055,68.5,72.0,,cbrezine,1970-02-05 09:31:42,,0000-00-00 00:00:00,3.5,0
56,3032607,1000056,70.5,73.5,,cbrezine,1970-02-10 07:47:04,,0000-00-00 00:00:00,3.0,0
57,3032607,1000057,70.5,73.5,,cbrezine,1970-02-10 07:48:23,,0000-00-00 00:00:00,3.0,0
58,3032607,1000058,70.5,73.5,,cbrezine,1970-02-10 07:48:31,,0000-00-00 00:00:00,3.0,0
59,3032608,1000059,73.0,75.0,,cbrezine,1970-02-10 07:50:39,,0000-00-00 00:00:00,2.0,0
60,3032610,1000060,68.5,71.5,,cbrezine,1970-02-10 07:53:31,,0000-00-00 00:00:00,3.0,0
61,3032611,1000061,69.0,72.5,,cbrezine,1970-02-10 08:02:11,,0000-00-00 00:00:00,3.5,0
62,3032612,1000062,76.5,78.5,,cbrezine,1970-02-10 08:03:31,,0000-00-00 00:00:00,2.0,0
63,3032612,1000063,76.5,78.5,,cbrezine,1970-02-10 08:03:34,,0000-00-00 00:00:00,2.0,0
64,3032613,1000064,71.0,74.0,,cbrezine,1970-02-10 08:05:16,,0000-00-00 00:00:00,3.0,0
65,3032617,1000065,68.5,71.0,,cbrezine,1970-02-10 08:11:10,,0000-00-00 00:00:00,2.5,0
66,3032618,1000066,69.0,71.5,,cbrezine,1970-02-10 08:12:32,,0000-00-00 00:00:00,2.5,0
67,3032621,1000067,74.0,76.0,,cbrezine,1970-02-10 08:15:48,,0000-00-00 00:00:00,2.0,0
68,3032622,1000068,65.0,69.0,,cbrezine,1970-02-10 08:16:47,,0000-00-00 00:00:00,4.0,0
69,3032623,1000069,71.0,74.5,,cbrezine,1970-02-10 08:18:30,,0000-00-00 00:00:00,3.5,0
70,3032625,1000070,73.5,76.0,,cbrezine,1970-02-10 08:20:39,,0000-00-00 00:00:00,2.5,0
71,3032626,1000071,73.0,76.5,,cbrezine,1970-02-10 08:22:11,,0000-00-00 00:00:00,3.5,0
72,3032626,1000072,73.0,76.5,,cbrezine,1970-02-10 08:22:14,,0000-00-00 00:00:00,3.5,0
73,3032626,1000073,73.0,76.5,,cbrezine,1970-02-10 08:22:27,,0000-00-00 00:00:00,3.5,0
