,cord_id,cord_notes
0,3000006,doblado en cordon principal
1,3000015,nudo desanudado
2,3000029,value changed; was 54
3,3000032,value changed; was 14
4,3000034,value changed; was 84
5,3000035,"value changed, was 16"
6,3000038,"value changed, was 16"
7,3000039,value changed; was 17
8,3000040,value changed; was 10
9,3000041,value changed; was 34
10,3000042,value changed; was 467
11,3000043,"value changed, was 16"
12,3000048,value changed; was 398
13,3000056,senal roja a 42.0 cm / red marker at 42.0 cm  Value changed; was originally 423
14,3000060,(y un desanudado)  cord includes evidence of a unknotting
15,3000063,senal roja a 36.5 cm value changed; was 481
16,3000064,value changed; was 249
17,3000065,value changed; was 136
18,3000069,knotted to cord 15
19,3000070,knotted to cord 14
20,3000071,senal roja a 23.5 cm / red marker at 23.5 cm value changed; was 918
21,3000073,value changed; was 343
22,3000074,value changed; was 20
23,3000075,senal final / marker at the end
24,3000089,senal roja a 31.0 cm / red marker at 31.0 cm value changed; was 114
25,3000121,"senal en rojo a 38.0 cm / red marker at 38.0 cm value changed, was 114"
26,3000133,senal rojo a 36.0 cm
27,3000148,un pen.? (bracketed with 57)
28,3000149,un pen.? (bracketed with 56)
29,3000165,senal rojo a 20.5 cm
30,3000167,"at 20.5 cm, señal roja of camelid (Adriana von Hagen, July 30 2004)"
31,3000175,not sure if final knot is an E or EE.
32,3000182,senal rojo a 18.5 cm
33,3000197,senal rojo a 19.5 cm
34,3000206,nudo desanudado
35,3000207,nudo desanudado
36,3000230,senal rojo a 20.0 cm
37,3000248,senal rojo  17.5 cm
38,3000264,20.5 señal rojo
39,3000268,senal de hilo en rojo indio a 34.5 cm
40,3000269,senal de hilo en rojo indio a 27.5 cm
41,3000272,senal de hilo en rojo indio a 22.0 cm
42,3000332,This cord is tied together with pendant #4 by the subsidiary.  The subsidiary is entered under #3 only.
43,3000333,this pendant is tied to pendant #3 by the subsidiary.  The subsidiary is entered as a subsidiary of pendant #3.
44,3000336,#7 is tied to #8 via a subsidiary.  The subsidiary is entered as a subsidiary of #7.
45,3000337,This pendant is tied to #7 via a subsidiary.  The subsidiary is entered as a subsidiary of #7.
46,3000345,This pendant is tied to #17 by means of a subsidiary.  The subsidiary is entered as the first subsidiary on #16.
47,3000346,Tied to #16 by means of subsidiary 16s1.
48,3000348,This cord is tied to #20 by means of a subsidiary.  The subsidiary is entered as a subsidiary of #19.
49,3000349,joined to 19 by subsidiary 19s1.
50,3000350,joined to #22 by subsidiary 21s1.
51,3000351,tied to #21 by subsidiary 21s1.
52,3000353,tied to #25 by subsidiary 24s1.
53,3000354,tied to 24 by subsidiary 24s1.
54,3000355,tied to 27 via 26s1
55,3000356,tied to 26 via 26s1
56,3000358,tied to cord 30 via 29s1.
57,3000359,tied to 29 via 29s1.
58,3000360,tied to #32 via subs. 31s1
59,3000361,tied to 31 by subs. 31s1
60,3000363,tied to 35 via subs 34s1
61,3000364,tied to 34 by subs 34s1
62,3000365,tied to 37 by subs 36s1
63,3000366,tied to 36 with subs 36s1
64,3000367,tied to 39 by subs 38s1
65,3000368,tied to 38 by subs 38s1
66,3000370,tied to 42 with subs 41s1
67,3000371,tied to 41 by subs 41s1
68,3000373,tied to 45 by subs 44s1
69,3000374,tied to 44 by subs 45s1
70,3000385,senal?
71,3000418,value changed.  Originally 189.
72,3000419,"value changed.  Originally 1,156"
73,3000434,"Original notes total cord value = 8,713."
74,3000443,value changed.  Originally 638
75,3000463,value changed.  Originally 150
76,3000473,value changed.  Originally 236
77,3000484,value changed.  Originally 282
78,3000493,value changed.  Originally 15
79,3000494,value changed; originally 10
80,3000497,value changed.  Originally 16
81,3000516,value changed.  Originally 19
82,3000522,value changed; originally 18
83,3000547,value changed.  Originally 17
84,3000551,value changed.  Originally 459
85,3000552,value changed.  Originally 633
86,3000558,value changed.  Originally 458
87,3000559,alternate value is incorrect.
88,3000584,value changed.  Originally 20
89,3000585,value changed.  Originally 391
90,3000811,value changed; was 159
91,3000897,value changed; was 23
92,3000899,"value changed, was 11"
93,3000901,value changed; was 15 + 3
94,3000903,value changed; was 10
95,3000907,value changed; was 10
96,3000908,"value changed, was 12"
97,3000909,"value changed, was 13"
98,3000912,"value changed, was 12"
99,3000913,"value changed, was 15"
100,3000942,he amarado al cordon principal value changed; was 140
101,3000951,value changed; was 39
102,3000952,value changed; was 13
103,3000958,value changed; was 58
104,3000993,Adriana von Hagen states the value should b 118.
105,3000997,value changed; was 50
106,3001018,Adriana von Hagen states (July 30 2004) this cord has seven E knots; last knot could be end knot.  Therefore knots originally entered were not changed.
107,3001019,Adriana von Hagen states that this cord has 7 E knots.  July 30 2004.
108,3001044,A new cord (0 value) has been stitched onto the primary cord between cords 17 and 18 The other cords appear to be attached normally to the primary cord
109,3001070,"value changed, was 1606"
110,3001071,"value changed, was 96"
111,3001093,"value changed, was 154"
112,3001111,value changed: was 22
113,3001178,"Knots notated ""1s (9.0/S); 5s (9.0/S)"".  Second set of knots recorded in database at ""19"" (instead of ""9"")."
114,3001179,could be 206?
115,3001275,This Marker is actually a break between two separate sections of the khipu (which were not necessarily joined together directly at this point).
116,3001326,Pendant 44 was broken at 10.0 cm but a directly associated cord was assumed to be its continuation.
117,3001341,Pendant 59 was broken at 12 cm but a directly associated cord was assumed to be its continuation.
118,3001342,"Pendant 60 was broken at 15 cm, but a directly associated cord was assumed to be its continuation."
119,3001368,"One of the four broken cords found with the quipu, as 24.0 cm W cord, was assumed to complete Pendant 86."
120,3001480,Subsidary cord 135s1 was broken at 3.0 cm but a directly associated cord was assumed to be its continuation.
121,3001543,"there is a knot at 26.5 cm; cord is broken, impossible to tell value. "
122,3001790,"Marker, W, located at 9.0 cm on cord"
123,3002035,"En el espacio entre los pendientes 50 y 51, si cuerpo del pen. #51 esta amarado alrededor del cordon principal."
124,3002066,c81 thru c88 tied together  Notes: Like LP on UR6?
125,3002070,Length is only approximate.  Uso para amarar el grupo
126,3002099,"c113 thru c121 tied together  Notes: Like LP on UR6? Total value is 121, which matches UR6 value"
127,3002100,Length is approximately 33.00
128,3002106,Length is approx 19.5 cm
129,3002107,Length is approx 30.0 cm
130,3002124,Trensado?
131,3002128,"I don't think the single knot is a real single knot; it is tied very loosely and below the long knot (there is an end know below the ""single"" knot)"
132,3002241,"Pendant is listed as ""96s6"" (and 95s6 is missing), so this data could actually refer to the subsidiary to 95 while 96 was skipped."
133,3002242,"Largo = 30.5?   but then right before that it reads ""(broken)"""
134,3002273,"Second knot listed as ""1 s (?) con anillo (11.5/?)"
135,3002287,"Empezamos de nuevo en un punto artificial (con señal nuevo de hilo sintetico (verde-caña) amandado en el cordon principal.  Interupción por descomposición del cordon principal.  Aqui, estaba doblado y roto el cordon principal."
