,KHIPU_ID,EARLIEST_AGE,LATEST_AGE,PROVENANCE,DATE_DISCOVERED,DISCOVERED_BY,MUSEUM_DESCR,MUSEUM_NAME,NICKNAME,MUSEUM_NUM,CONDITIONOFKHIPU,REGION,INVESTIGATOR_NUM,COMPLETE,CREATED_BY,CREATED_ON,CHANGED_BY,CHANGED_ON,DUPLICATE_FLAG,DUPLICATE_ID,ARCHIVE_NUM,orig_inv_num,has_values,DiagramVolume,ObservationSource
0,1000000,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,Khipu de algodon,"Centro Mallqui, Leymebamba, Amazonas",,CMA-480/LC1-109.3,,Chachapoyas,UR019,0.0,cbrezine,2003-05-28 21:07:00,cbrezine,2003-05-30 20:53:32,0.0,0.0,100.0,UR019,1.0,,KDB
1,1000001,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-480/LC1-109.5,,Chachapoyas,UR008,0.0,cbrezine,2003-05-29 14:24:49,cbrezine,2003-05-30 20:52:54,0.0,0.0,100.0,UR008,1.0,,KDB
2,1000002,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-480/LC1-109.6,,Chachapoyas,UR020,0.0,cbrezine,2003-05-29 14:46:09,cbrezine,2004-11-17 18:05:16,0.0,0.0,100.0,UR020,1.0,,KDB
3,1000003,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-480/LC1-109B,,Chachapoyas,UR018,0.0,cbrezine,2003-05-29 16:19:55,cbrezine,2004-11-16 21:01:44,0.0,0.0,100.0,UR018,1.0,,KDB
4,1000004,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-480/LC1-109.1,,Chachapoyas,UR010,0.0,cbrezine,2003-05-29 18:19:48,cbrezine,2004-11-17 21:03:06,0.0,0.0,100.0,UR010,1.0,,KDB
5,1000005,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA 480/LC1-109.2,,Chachapoyas,UR005,0.0,cbrezine,2003-05-29 23:29:35,cbrezine,2003-05-30 20:54:10,0.0,0.0,100.0,UR005,1.0,,KDB
6,1000006,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA 480/LC1-109.4,,Chachapoyas,UR007,0.0,cbrezine,2003-06-02 18:10:22,,0000-00-00 00:00:00,0.0,0.0,100.0,UR007,1.0,,KDB
7,1000007,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-628/LC1-257A,,Chachapoyas,UR011,0.0,cbrezine,2003-06-03 20:45:53,cbrezine,2004-11-10 21:12:24,0.0,0.0,100.0,UR011,1.0,,KDB
8,1000008,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-628/LC1-257D,,Chachapoyas,UR013,0.0,cbrezine,2003-06-05 15:55:42,,0000-00-00 00:00:00,0.0,0.0,100.0,UR013,1.0,,KDB
9,1000009,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-628/LC1-257C,,Chachapoyas,UR012,0.0,cbrezine,2003-06-05 19:45:02,cbrezine,2004-11-17 21:09:30,0.0,0.0,100.0,UR012,1.0,,KDB
10,1000010,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-628/LC1-257F,,Chachapoyas,UR015,0.0,cbrezine,2003-06-06 17:05:24,cbrezine,2004-11-17 21:08:37,0.0,0.0,100.0,UR015,1.0,,KDB
11,1000011,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-628/LC1-257E,,Chachapoyas,UR014,0.0,cbrezine,2003-06-06 22:59:47,,0000-00-00 00:00:00,0.0,0.0,100.0,UR014,1.0,,KDB
12,1000012,1441,1517,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-628/LC1 257B TEQ,,Chachapoyas,UR002,0.0,cbrezine,2003-06-07 00:13:51,robyn,2021-05-14,0.0,0.0,100.0,UR002,1.0,,KDB
13,1000013,0000-00-00,0000-00-00,,0000-00-00,,,"Lowie Museum, University of California, Berkeley",,TK 4/5419,,,AS202,0.0,katie,2003-06-11 14:32:25,katie,2003-06-11 16:09:14,0.0,0.0,0.0,AS202,1.0,,KDB
14,1000014,0000-00-00,0000-00-00,,0000-00-00,,,"Lowie Museum, University of California, Berkeley",,TK 4/5419,,,AS203,0.0,katie,2003-06-11 15:30:33,katie,2003-06-11 15:32:11,0.0,0.0,0.0,AS203,1.0,,KDB
15,1000015,0000-00-00,0000-00-00,,0000-00-00,,,"Museum of Culture History, University of California, Los Angeles",,None,,,AS206,0.0,katie,2003-06-11 16:23:31,katie,2003-06-11 16:24:13,0.0,0.0,0.0,AS206,1.0,,KDB
16,1000016,0000-00-00,0000-00-00,"""Huaura Valley, near Lima, on Santa Rosalia Hacienda""",0000-00-00,,,"Museum fur Volkerkunde, Vienna",,IX/1961,,near Lima,AS208,0.0,katie,2003-06-11 17:50:11,katie,2003-06-11 18:08:25,0.0,0.0,0.0,AS208,1.0,,KDB
17,1000017,0000-00-00,0000-00-00,,0000-00-00,,,"Field Museum of Natural History, Chicago, IL",,111407,,,AS210,0.0,katie,2003-06-12 14:46:17,katie,2003-06-12 14:52:59,0.0,0.0,0.0,AS210,1.0,,KDB
18,1000018,1443,1569,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-373/LC2-002,,Chachapoyas,UR016,0.0,katie,2003-06-12 16:06:58,robyn,2021-05-14,0.0,0.0,100.0,UR016,1.0,,KDB
19,1000019,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA 850/LC1-479,,Chachapoyas,UR009,0.0,katie,2003-06-13 20:41:30,gurton,2010-04-07 14:25:02,0.0,0.0,100.0,UR009,1.0,,KDB
20,1000020,1448,1588,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA-419/LC1-048 TEQ,,Chachapoyas,UR003,0.0,katie,2003-06-16 15:37:51,robyn,2021-05-14,0.0,0.0,100.0,UR003,1.0,,KDB
21,1000021,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA 480/LC1-109A,,Chachapoyas,UR017,0.0,katie,2003-06-18 14:19:39,cbrezine,2003-09-17 20:33:05,0.0,0.0,100.0,UR017,1.0,,KDB
22,1000022,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,INC-498,,Chachapoyas,UR021,0.0,katie,2003-06-18 19:29:33,gurton,2010-04-07 14:44:42,0.0,0.0,100.0,UR021,1.0,,KDB
23,1000023,1600-01-01,1630-01-01,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,"INC/LDC 108, LC1947.TEQ",,Chachapoyas,UR001,0.0,katie,2003-06-19 14:28:10,cbrezine,2003-09-17 20:34:15,0.0,0.0,100.0,UR001,1.0,,KDB
24,1000024,1169,1237,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",,CMA 847-LC1.476 TEQ,,Chachapoyas,UR004,0.0,katie,2003-06-19 14:29:24,robyn,2021-05-14,0.0,0.0,100.0,UR004,1.0,,KDB
25,1000025,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",Calendar Khipu,CMA.625/LC1-254,,Chachapoyas,UR006,0.0,katie,2003-06-19 17:54:11,cbrezine,2003-09-17 20:33:58,0.0,0.0,100.0,UR006,1.0,,KDB
26,1000026,0000-00-00,0000-00-00,Ica,0000-00-00,,,"Lowie Museum, University of California, Berkeley",,TK 4/5419,,,AS201,0.0,katie,2003-06-26 19:35:56,katie,2003-06-26 19:40:09,0.0,0.0,200.0,AS201,1.0,,KDB
27,1000027,0000-00-00,0000-00-00,Ica,0000-00-00,,,"Lowie Museum, University of California, Berkeley",,TK 4/5418,,,AS204,0.0,katie,2003-06-26 19:55:53,katie,2003-06-26 19:59:18,0.0,0.0,200.0,AS204,1.0,,KDB
28,1000028,0000-00-00,0000-00-00,,0000-00-00,,,"Lowie Museum, University of California, Berkeley",,TM 4/5446,,,AS205,0.0,katie,2003-06-26 20:19:17,katie,2003-06-26 20:29:32,0.0,0.0,0.0,AS205,1.0,,KDB
29,1000029,0000-00-00,0000-00-00,,0000-00-00,,,"Museum of Science, Buffalo, New York",,C14459,,,AS207A,0.0,katie,2003-06-26 20:46:12,katie,2003-06-26 20:48:31,0.0,0.0,0.0,AS207A,1.0,,KDB
30,1000030,0000-00-00,0000-00-00,,0000-00-00,,,"Museum of Science, Buffalo, New York",,C14459,,,AS207B,0.0,katie,2003-06-26 21:07:53,katie,2003-06-27 13:12:21,0.0,0.0,0.0,AS207B,1.0,,KDB
31,1000031,0000-00-00,0000-00-00,,0000-00-00,,,"Museum of Science, Buffalo, New York",,C14459,,,AS207C,0.0,katie,2003-06-26 21:09:18,katie,2003-06-27 14:10:14,0.0,0.0,0.0,AS207C,1.0,,KDB
32,1000032,0000-00-00,0000-00-00,,0000-00-00,,,"Royal Ontario Museum, Toronto",,HP519,,,AS209,0.0,katie,2003-06-27 18:23:09,katie,2003-06-27 18:26:27,0.0,0.0,0.0,AS209,1.0,,KDB
33,1000033,0000-00-00,0000-00-00,,0000-00-00,,,"N195161prstkovo Museum, Prague",,45.698,,,AS211,0.0,katie,2003-06-30 13:12:27,katie,2003-06-30 13:19:24,0.0,0.0,0.0,AS211,1.0,,KDB
34,1000034,0000-00-00,0000-00-00,,0000-00-00,,,"Joslyn Art Museum, Omaha, Nebraska",,1958-57,,,AS212,0.0,katie,2003-06-30 14:14:02,katie,2003-06-30 14:20:52,0.0,0.0,0.0,AS212,1.0,,KDB
35,1000035,0000-00-00,0000-00-00,,0000-00-00,,,"owner Leo J. Harris, St. Paul, Minnesota",,1,,,AS213,0.0,katie,2003-06-30 16:00:18,katie,2003-06-30 16:02:00,0.0,0.0,0.0,AS213,1.0,,KDB
36,1000036,0000-00-00,0000-00-00,,0000-00-00,,,"Hood Museum of Art, Dartmouth College, Hanover, New Hampshire",,43-4-8575,,,AS214,0.0,katie,2003-06-30 16:34:18,katie,2003-06-30 16:38:47,0.0,0.0,0.0,AS214,1.0,,KDB
37,1000037,0000-00-00,0000-00-00,Nazca,0000-00-00,,,"Hood Museum of Art, Dartmouth College, Hanover, New Hampshire",,55-32-13302,,,AS215,0.0,katie,2003-06-30 17:00:42,katie,2003-06-30 17:19:34,0.0,0.0,202.0,AS215,1.0,,KDB
38,1000038,0000-00-00,0000-00-00,Nazca,0000-00-00,,,"Hood Museum of Art, Dartmouth College, Hanover, New Hampshire",,55-32-13302,,,AS215F,0.0,katie,2003-06-30 17:07:21,eric,1970-02-26 04:57:42,0.0,0.0,0.0,AS215F,1.0,,KDB
39,1000039,0000-00-00,0000-00-00,Pachacamac,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA42553,,,UR1097,0.0,katie,2011-11-11 20:32:14,katie,2003-06-30 19:22:01,0.0,0.0,300.0,AS97,1.0,,KDB
40,1000040,0000-00-00,0000-00-00,Between Ica and Pisco,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA16136,,,UR1098,0.0,katie,2011-11-11 20:32:14,katie,2003-06-30 20:10:28,0.0,0.0,201.0,AS98,1.0,,KDB
41,1000041,0000-00-00,0000-00-00,Pachacamac,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA42526,,,UR1099,0.0,katie,2011-11-11 20:32:14,katie,2003-06-30 21:13:49,0.0,0.0,300.0,AS99,1.0,,KDB
42,1000042,0000-00-00,0000-00-00,Ica,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA47070,,,UR1100,0.0,katie,2011-11-11 20:32:14,katie,2003-07-01 14:09:16,0.0,0.0,200.0,AS100,1.0,,KDB
43,1000043,0000-00-00,0000-00-00,Pachacamac,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA42528,,,AS101 - Part 1,0.0,katie,2011-11-11 20:32:14,katie,2003-07-01 16:03:12,0.0,0.0,300.0,AS101 - Part 1,1.0,,KDB
44,1000044,0000-00-00,0000-00-00,Pachacamac,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA42528,,,AS101 - Part 2,0.0,katie,2011-11-11 20:32:14,katie,2003-07-01 17:00:33,0.0,0.0,300.0,AS101 - Part 2,1.0,,KDB
45,1000045,0000-00-00,0000-00-00,Leymebamba,0000-00-00,,,"Centro Mallqui, Leymebamba, Amazonas",Washed Khipu,INC-109,,Chachapoyas,UR022,0.0,katie,2003-07-01 18:21:21,cbrezine,2004-03-01 15:01:55,0.0,0.0,0.0,UR022,1.0,,KDB
46,1000046,0000-00-00,0000-00-00,Pachacamac,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA42613,,,UR1102,0.0,katie,2011-11-11 20:32:14,katie,2003-07-02 15:00:52,0.0,0.0,300.0,AS102,1.0,,KDB
47,1000047,0000-00-00,0000-00-00,Ica,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA47078,,,UR1103,0.0,katie,2011-11-11 20:32:14,katie,2003-07-02 15:24:47,0.0,0.0,200.0,AS103/N12,1.0,,KDB
48,1000048,0000-00-00,0000-00-00,Pachacamac,0000-00-00,,,"Ethnologisches Museum, Berlin, Germany",,VA42527,,"Central Coast, Peru",UR1104,0.0,katie,2013-05-03 14:36:09,julia,2013-05-03 14:36:09,0.0,0.0,300.0,UR1104,1.0,,KDB
49,1000049,0000-00-00,0000-00-00,Ica,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA47097,,,UR1105,0.0,katie,2011-11-11 20:32:14,katie,2003-07-02 20:31:00,0.0,0.0,200.0,AS105/N16,1.0,,KDB
50,1000050,0000-00-00,0000-00-00,Marquez,0000-00-00,,,"Museum für Völkerkunde, Berlin",,VA24370A,,,UR1106,0.0,katie,2011-11-11 20:32:14,katie,2003-07-02 21:01:12,0.0,0.0,0.0,AS106,1.0,,KDB
