,KHIPU_ID,CREATED_BY,CREATED_ON,CHANGED_BY,CHANGED_ON,NOTES,plainnotes
0,1000004,cbrezine,2003-05-29 23:06:12,,0000-00-00 00:00:00,"1. Los ""senales rojos"" mencionados en el registro se componen de un hilito de lana que se enlace entre de los hilos (doblados) del pendiente.","1. Los ""senales rojos"" mencionados en el registro se componen de un hilito de lana que se enlace entre de los hilos (doblados) del pendiente."
1,1000004,cbrezine,2003-05-29 23:09:14,,0000-00-00 00:00:00,"2.  En pendiente #156 hay un pendiente suelto atado en la forma de un pendiente inmediatamente sobre el nudo largo (de 2).  Las medidas de los dos extremos de esta pendiente son: 23.0, 11.5","2.  En pendiente #156 hay un pendiente suelto atado en la forma de un pendiente inmediatamente sobre el nudo largo (de 2).  Las medidas de los dos extremos de esta pendiente son: 23.0, 11.5"
2,1000005,cbrezine,2003-05-29 23:29:35,,0000-00-00 00:00:00,1.  Parece que khipu UR5 se componen de dos khipus diferentes unidos.  El cordon principal del primero tiene un espesor de 0.3 cm; del segundo es 0.5 cm. ,1.  Parece que khipu UR5 se componen de dos khipus diferentes unidos.  El cordon principal del primero tiene un espesor de 0.3 cm; del segundo es 0.5 cm. 
3,1000005,cbrezine,2003-05-29 23:30:10,,0000-00-00 00:00:00,2.  El pendiente #1 tiene un senal (hilo en rojo indio) enlazado en el pendiente en la distancia de 34.5 cm del cordon principal.,2.  El pendiente #1 tiene un senal (hilo en rojo indio) enlazado en el pendiente en la distancia de 34.5 cm del cordon principal.
4,1000005,cbrezine,2003-05-29 23:30:46,,0000-00-00 00:00:00,3.  El pendiente #2 tiene senal de hilo en rojo indio en la distancia de 27.5 cm del cordon principal. ,3.  El pendiente #2 tiene senal de hilo en rojo indio en la distancia de 27.5 cm del cordon principal. 
5,1000005,cbrezine,2003-05-29 23:31:17,,0000-00-00 00:00:00,4.  El pendiente #5 tiene senal de hilo en rojo indio en la distancia de 22 cm del cordon principal. ,4.  El pendiente #5 tiene senal de hilo en rojo indio en la distancia de 22 cm del cordon principal. 
6,1000006,cbrezine,2003-06-02 18:10:22,,0000-00-00 00:00:00,"1) En cuanto a los pendientes unidos por un subsidiario (eg, 44/45s1), tiene la forma siguiente: (see picture in hard copy for now).","1) En cuanto a los pendientes unidos por un subsidiario (eg, 44/45s1), tiene la forma siguiente: (see picture in hard copy for now)."
7,1000008,cbrezine,2003-06-05 15:55:42,,0000-00-00 00:00:00,The beginning of the primary cord has a knot which unites khipu 257D/UR13 with 257C/UR12 and 257F/UR15.  (Original investigator's note: nudo con hilo que une khipu 257D con 257C y F),The beginning of the primary cord has a knot which unites khipu 257D/UR13 with 257C/UR12 and 257F/UR15.  (Original investigator's note: nudo con hilo que une khipu 257D con 257C y F)
8,1000009,cbrezine,2003-06-05 19:45:02,,0000-00-00 00:00:00,1.  Hay un senal de hilo glanco a 26 cm en el pendiente #2,1.  Hay un senal de hilo glanco a 26 cm en el pendiente #2
9,1000009,cbrezine,2003-06-05 19:45:17,,0000-00-00 00:00:00,2. Hay un senal de hilo blanco a 32 cm en #2s1,2. Hay un senal de hilo blanco a 32 cm en #2s1
10,1000009,cbrezine,2003-06-05 19:46:06,,0000-00-00 00:00:00,3. 19s1 era rota; encontramos con unhilo egual de color en la bolsa de hilos fragmentos (atamos al pendients #19 como su primer subsidiario).,3. 19s1 era rota; encontramos con unhilo egual de color en la bolsa de hilos fragmentos (atamos al pendients #19 como su primer subsidiario).
11,1000009,cbrezine,2003-06-05 19:46:35,,0000-00-00 00:00:00,4.  Los pendientes anillados estan statdos al cordon principal en la forma de pendientes: ,4.  Los pendientes anillados estan statdos al cordon principal en la forma de pendientes: 
12,1000010,cbrezine,2003-06-06 17:05:24,,0000-00-00 00:00:00,1.  (khipu 257),1.  (khipu 257)
13,1000010,cbrezine,2003-06-06 17:06:58,,0000-00-00 00:00:00,2.  5s4 y 5s5 son los dos extremos de un hilo que se enlaca en un nudo que se encuentran a 12.5 cm a lo largo del pen. #5 *es bien probable que los subsidiarios 5s4 y 5s5 se constituyen el cordon principl (con valores) de khipu independente.,2.  5s4 y 5s5 son los dos extremos de un hilo que se enlaca en un nudo que se encuentran a 12.5 cm a lo largo del pen. #5 *es bien probable que los subsidiarios 5s4 y 5s5 se constituyen el cordon principl (con valores) de khipu independente.
14,1000010,cbrezine,2003-06-06 17:07:19,,0000-00-00 00:00:00,3.  El Nudo finl de 5s5s2 tiene la forma de nudo simple en Z. ,3.  El Nudo finl de 5s5s2 tiene la forma de nudo simple en Z. 
15,1000012,cbrezine,2003-06-07 00:13:51,,0000-00-00 00:00:00,1.  Este khipu es uno de un grupo de tres khipus unidos (del sitio #1 de la Laguna de los Condores),1.  Este khipu es uno de un grupo de tres khipus unidos (del sitio #1 de la Laguna de los Condores)
16,1000014,katie,2003-06-11 15:30:34,,0000-00-00 00:00:00,"1. AS201, 202, and 203 are designated by the same museum number.  (See AS201 observations 1 and 2.)","1. AS201, 202, and 203 are designated by the same museum number.  (See AS201 observations 1 and 2.)"
17,1000014,katie,2003-06-11 15:32:11,,0000-00-00 00:00:00,"2. By spacing, the quipu is separated into two parts.  The first part has a single pendant and then a group of four pendants.  The second part consists of 8 groups of 4 pendants each.  All of the 4 pendant groups have the same color pattern: NB, YB, LB, LB.  Except for the group of pendants in Part I and the sixth group in Part II, all pendant values are 0 or 1.  The pendants in part I and in group 6 have the same values: 6, 4, 4, and 9 in the latter and broken in the former.","2. By spacing, the quipu is separated into two parts.  The first part has a single pendant and then a group of four pendants.  The second part consists of 8 groups of 4 pendants each.  All of the 4 pendant groups have the same color pattern: NB, YB, LB, LB.  Except for the group of pendants in Part I and the sixth group in Part II, all pendant values are 0 or 1.  The pendants in part I and in group 6 have the same values: 6, 4, 4, and 9 in the latter and broken in the former."
18,1000013,katie,2003-06-11 16:05:29,,0000-00-00 00:00:00,"1. AS201, 202, and 203 are designated by the same museum number.  (See AS201 observations 1 and 2.)","1. AS201, 202, and 203 are designated by the same museum number.  (See AS201 observations 1 and 2.)"
19,1000013,katie,2003-06-11 16:06:46,,0000-00-00 00:00:00,"2. By spacing, the quipu has eight groups of three pendants each.  (The fifth group has one more pendant and the first group has one fewer.  However, the rest of the first group may have been broken off.)  Each group has the same color pattern YB, LB, LB:YB.  (The extra pendant in group 5 is LB.  The two pendants in group 1 are in reverse order, that is LB:YB, LB).","2. By spacing, the quipu has eight groups of three pendants each.  (The fifth group has one more pendant and the first group has one fewer.  However, the rest of the first group may have been broken off.)  Each group has the same color pattern YB, LB, LB:YB.  (The extra pendant in group 5 is LB.  The two pendants in group 1 are in reverse order, that is LB:YB, LB)."
20,1000013,katie,2003-06-11 16:07:55,,0000-00-00 00:00:00,"3. There are knots on the main cord between the pendant groups.  The sums of the groups are ?,1,1,6,5,2,0,1.  The numbers on the main cord are ?,1,1,5,4,1,0,1.  In each case where the sum of the group is 0 or 1, that is the value preceding the group on the main cord.  Where the sum is greater than 1, the main cord has the sum of the group minus 1.","3. There are knots on the main cord between the pendant groups.  The sums of the groups are ?,1,1,6,5,2,0,1.  The numbers on the main cord are ?,1,1,5,4,1,0,1.  In each case where the sum of the group is 0 or 1, that is the value preceding the group on the main cord.  Where the sum is greater than 1, the main cord has the sum of the group minus 1."
21,1000013,katie,2003-06-11 16:09:14,,0000-00-00 00:00:00,"4.  With the quipu was stored 2 bundles of prepared blanks, 2 fragments of quipus, and 2 broken cords with knots.  One of the broken cords might be part of the main cord of this quipu.  The cord is, starting at its broken end, 16.0 cm, 1s, 9.0 cm, 6L, 20.0 cm, K.  The value (16) could be related to the sume of the pendant cord (16) or other knots on the main cord (13).","4.  With the quipu was stored 2 bundles of prepared blanks, 2 fragments of quipus, and 2 broken cords with knots.  One of the broken cords might be part of the main cord of this quipu.  The cord is, starting at its broken end, 16.0 cm, 1s, 9.0 cm, 6L, 20.0 cm, K.  The value (16) could be related to the sume of the pendant cord (16) or other knots on the main cord (13)."
22,1000015,katie,2003-06-11 16:23:31,,0000-00-00 00:00:00,"1. AS206 is two fragments of the same quipu.  They are not necessarily connected.  The first fragment contains 4 groups of 6 pendants each the other fragment contains 1 group of 5 pendants.  All 5 groups have the same color pattern: LB, YB, GO, YB, YB, LB:YB.  Where a pendant is missing it is the second pendant in the group.  Where there is a subsidiary (groups 2 and 3), it is colored LB and on the last pendant in the groups. ","1. AS206 is two fragments of the same quipu.  They are not necessarily connected.  The first fragment contains 4 groups of 6 pendants each the other fragment contains 1 group of 5 pendants.  All 5 groups have the same color pattern: LB, YB, GO, YB, YB, LB:YB.  Where a pendant is missing it is the second pendant in the group.  Where there is a subsidiary (groups 2 and 3), it is colored LB and on the last pendant in the groups. "
23,1000015,katie,2003-06-11 16:24:13,,0000-00-00 00:00:00,"2. There is too much breakage for comparison of values.  However, all groups seem to have the same rank order: P5>P4>P6>P1>P3> or = P2","2. There is too much breakage for comparison of values.  However, all groups seem to have the same rank order: P5>P4>P6>P1>P3> or = P2"
24,1000016,katie,2003-06-11 17:51:46,,0000-00-00 00:00:00,1. Construction Note: The main cord is finished with a thread wrapping extending for 1.0 cm,1. Construction Note: The main cord is finished with a thread wrapping extending for 1.0 cm
25,1000016,katie,2003-06-11 17:53:01,,0000-00-00 00:00:00,"**2. With the quipu were 4 broken cords.  Two of them were W with finished ends, no knots, and lengths of 24.0 cm and 45.0 cm.  We assume that the 24.0 cm W cord completes pendant 86.  The other two cords were AB.  One had a finished end, no knots, and length 27.0 cm.  The other was broken at both ends, 37.0 cm long with 1 E knot, 7.0 cm from one end.","**2. With the quipu were 4 broken cords.  Two of them were W with finished ends, no knots, and lengths of 24.0 cm and 45.0 cm.  We assume that the 24.0 cm W cord completes pendant 86.  The other two cords were AB.  One had a finished end, no knots, and length 27.0 cm.  The other was broken at both ends, 37.0 cm long with 1 E knot, 7.0 cm from one end."
26,1000016,katie,2003-06-11 17:54:38,,0000-00-00 00:00:00,***3. Pendant 44 was broken at 10.0 cm but a directly associated cord was assumed to be its continuation.,
27,1000016,katie,2003-06-11 17:57:53,,0000-00-00 00:00:00,"4. Provenance: Huaura Valley, near Lima, on Santa Rosalia Hacienda.  It was found in the remains of a building that was probably an Inca tambo or an old Inca road at its entrance into the cultivated valley.  Close by lay the remains of a small settlement and community.","4. Provenance: Huaura Valley, near Lima, on Santa Rosalia Hacienda.  It was found in the remains of a building that was probably an Inca tambo or an old Inca road at its entrance into the cultivated valley.  Close by lay the remains of a small settlement and community."
28,1000016,katie,2003-06-11 17:58:24,,0000-00-00 00:00:00,"5. By spacing, the quipu is separated into two parts.  it may have had additional parts as the main cord is not complete.","5. By spacing, the quipu is separated into two parts.  it may have had additional parts as the main cord is not complete."
29,1000016,katie,2003-06-11 18:00:19,,0000-00-00 00:00:00,6. Part I consists of seven cord groups with six pendants each.  The groups are separated by spacing and color pattern.,
30,1000016,katie,2003-06-11 18:03:37,,0000-00-00 00:00:00,"Also, pendant values in groups 2,4, and 6 have the same rank order.  That is,",
31,1000016,katie,2003-06-11 18:08:25,,0000-00-00 00:00:00,7. Part II consists of eight cord groups with 15 pendants each.  The groups are separated by spacing and color pattern.  (The first group has an additional pendant between pendants 10 and 11.),
32,1000017,katie,2003-06-12 14:49:13,,0000-00-00 00:00:00,"1. Pendant 18 is broken at 2 cm.  We are assuming that a 9.5 cm fargment stored with the quipu, broken at both ends, is its continuation","1. Pendant 18 is broken at 2 cm.  We are assuming that a 9.5 cm fargment stored with the quipu, broken at both ends, is its continuation"
33,1000017,katie,2003-06-12 14:51:24,,0000-00-00 00:00:00,"2. The quipu, received by the museum in 1925, was part of the collection of Charles F Gunther.  Its provenance was stated as Peru.  The quipu was received by the museum in a basket made of woven reeds (13.0 cm x 6.0 cm x 34.0 cm).  The basket also contained 41 spindles, 55 sticks and needles, 4 whorls, 1 bundle of sticks, 2 skeins of yarn, 7 miscellaneous samples of rope, reed, and textiles, and 1 bag of unspun cotton fiber.  The color of the cotton fiber was similar to the browns of the quipu cords.  There is no statement as to whether or not the quipu was found in the basket and none of the yarn or fiber colors are sufficiently distinctive to associate them with the quipu.","2. The quipu, received by the museum in 1925, was part of the collection of Charles F Gunther.  Its provenance was stated as Peru.  The quipu was received by the museum in a basket made of woven reeds (13.0 cm x 6.0 cm x 34.0 cm).  The basket also contained 41 spindles, 55 sticks and needles, 4 whorls, 1 bundle of sticks, 2 skeins of yarn, 7 miscellaneous samples of rope, reed, and textiles, and 1 bag of unspun cotton fiber.  The color of the cotton fiber was similar to the browns of the quipu cords.  There is no statement as to whether or not the quipu was found in the basket and none of the yarn or fiber colors are sufficiently distinctive to associate them with the quipu."
34,1000017,katie,2003-06-12 14:52:13,,0000-00-00 00:00:00,3. By spacing the quipu is separated into 5 groups.  By color and values the groups form 3 parts: part I is a group of 4 pendants; part II is two groups of 6 and 8 pendants respectively; and part III is two groups of 6 pendants each.,3. By spacing the quipu is separated into 5 groups.  By color and values the groups form 3 parts: part I is a group of 4 pendants; part II is two groups of 6 and 8 pendants respectively; and part III is two groups of 6 pendants each.
35,1000017,katie,2003-06-12 14:52:59,,0000-00-00 00:00:00,"4.  Additional notes are found in Ascher and Ascher 1987, pgs 103-105.","4.  Additional notes are found in Ascher and Ascher 1987, pgs 103-105."
36,1000018,katie,2003-06-13 20:40:28,,0000-00-00 00:00:00,El señal en el cordon pricipal entre 44.5 - 46.0 se consiste de un hilo (z/s) alrededer del cor. prin.,El se195177al en el cordon pricipal entre 44.5 - 46.0 se consiste de un hilo (z/s) alrededer del cor. prin.
37,1000019,katie,2003-06-13 20:42:01,,0000-00-00 00:00:00,1. El señal #1 se compone del cuerpo del pendiente #27.,1. El se195177al #1 se compone del cuerpo del pendiente #27.
38,1000019,katie,2003-06-13 20:43:17,,0000-00-00 00:00:00,"2. En el espacio entre les pendientes 50 y 51, si cuerpo del pen. #51 esta amarado alrededor cordon principal.","2. En el espacio entre les pendientes 50 y 51, si cuerpo del pen. #51 esta amarado alrededor cordon principal."
39,1000019,katie,2003-06-13 20:43:39,,0000-00-00 00:00:00,3. El cuerpo del pendiente #52 esta amarado alrededor del cordon principal,3. El cuerpo del pendiente #52 esta amarado alrededor del cordon principal
40,1000019,katie,2003-06-13 20:44:05,,0000-00-00 00:00:00,4. Los pendientes #111 y 112 estan amarados par un hilo del cordon principal,4. Los pendientes #111 y 112 estan amarados par un hilo del cordon principal
41,1000019,katie,2003-06-13 20:44:37,,0000-00-00 00:00:00,5. Los 8 pendientes #81-88 estan juntados con mido (see pg 9 of notes on pendant UR9),5. Los 8 pendientes #81-88 estan juntados con mido (see pg 9 of notes on pendant UR9)
42,1000019,katie,2003-06-13 20:45:09,,0000-00-00 00:00:00,6. Pendientes #113-121 (=9 pendientes) estan juntados con un nudo en la manera de arriba,6. Pendientes #113-121 (=9 pendientes) estan juntados con un nudo en la manera de arriba
43,1000020,katie,2003-06-16 15:52:22,,0000-00-00 00:00:00,1.  Und interrupcion por descomposicion del cordon principal; descartamos una cantidad de pendientes (con subsidiaries) por su fragilidad; empezamos de nuevo en un punto artificial (con señal nuevo de hilo sintetico (verde-caña) amanado en el cordon principal,1.  Und interrupcion por descomposicion del cordon principal; descartamos una cantidad de pendientes (con subsidiaries) por su fragilidad; empezamos de nuevo en un punto artificial (con se195177al nuevo de hilo sintetico (verde-ca195177a) amanado en el cordon principal
44,1000020,katie,2003-06-16 15:54:02,,0000-00-00 00:00:00,"2. NOTA - tarece que hay variación en la dirección de anadar los nudos finales (unos en Z, ofres en S).  Yo no ho anotado las direccións de les finales en las anotaciones siguientes.","2. NOTA - tarece que hay variaci195179n en la direcci195179n de anadar los nudos finales (unos en Z, ofres en S).  Yo no ho anotado las direcci195179ns de les finales en las anotaciones siguientes."
45,1000020,katie,2003-06-16 15:55:12,,0000-00-00 00:00:00,"3.  Por falia del tiemp, terminé la anotación de nudos en este punto.","3.  Por falia del tiemp, termin195169 la anotaci195179n de nudos en este punto."
46,1000021,katie,2003-06-18 14:19:39,,0000-00-00 00:00:00,1. Khipus CMA-480/LC1-109A + B estaban encontrado junto - pero no anudado con - los khipus Lc1-109.1-.6.,1. Khipus CMA-480/LC1-109A + B estaban encontrado junto - pero no anudado con - los khipus Lc1-109.1-.6.
47,1000021,katie,2003-06-18 14:23:32,,0000-00-00 00:00:00,2. Señal #1 del cordon principal se compon de un hilo rojo y blanco amanado en el cor. prin.,
48,1000021,katie,2003-06-18 14:28:14,,0000-00-00 00:00:00,"11.  Hay una division posible (eso es, meñas que 0.5 cm en cada instancia) entre: pendientes 7 y 8, 18 y 19, 26 y 27, 32 y 33, 36 y 37, 40 y 41, 52 y 53","11.  Hay una division posible (eso es, me195177as que 0.5 cm en cada instancia) entre: pendientes 7 y 8, 18 y 19, 26 y 27, 32 y 33, 36 y 37, 40 y 41, 52 y 53"
49,1000022,katie,2003-06-18 19:29:33,,0000-00-00 00:00:00,2. El pendiente anillado esta atado al cordon principal en la forma de un pendiente (drawing in notes),2. El pendiente anillado esta atado al cordon principal en la forma de un pendiente (drawing in notes)
50,1000024,katie,2003-06-19 14:29:24,,0000-00-00 00:00:00,Note: AMS date listed as 834 plus/minus 34 B.P. with the actual date as 1068-1278 A.D.,Note: AMS date listed as 834 plus/minus 34 B.P. with the actual date as 1068-1278 A.D.
51,1000024,katie,2003-06-19 14:36:18,,0000-00-00 00:00:00,(Current BP info (725-935) was calculated by the program from the CE dates.),(Current BP info (725-935) was calculated by the program from the CE dates.)
52,1000025,katie,2003-06-19 17:56:06,,0000-00-00 00:00:00,"1.  No es seguro que les dos ""pendientes anillados"" (PA1 y PA2) estan orientadas arriba del cordon principal (la forma de anudar los pendientes al cordon principal es la misma de la de los pendientes anillados ""regulares"".","1.  No es seguro que les dos ""pendientes anillados"" (PA1 y PA2) estan orientadas arriba del cordon principal (la forma de anudar los pendientes al cordon principal es la misma de la de los pendientes anillados ""regulares""."
53,1000023,katie,2003-06-25 15:09:03,,0000-00-00 00:00:00,"2. Ex 17 - complex end knot in which an additional thread is tied into a knot, string terminates in two tails","2. Ex 17 - complex end knot in which an additional thread is tied into a knot, string terminates in two tails"
54,1000023,katie,2003-06-25 15:09:15,,0000-00-00 00:00:00,3. Pendant 1 is loosely tied (perhaps by looters),3. Pendant 1 is loosely tied (perhaps by looters)
55,1000023,katie,2003-06-25 15:09:37,,0000-00-00 00:00:00,4. Pendant 120 has a complex attachment to main cord; attachment is doubled around cord and knotted,4. Pendant 120 has a complex attachment to main cord; attachment is doubled around cord and knotted
