,KHIPU_ID,PCORD_ID,STRUCTURE,THICKNESS,NOTES,ATTACHED_TO,PCORD_LENGTH,FIBER,TERMINATION,BEGINNING,CREATED_BY,CREATED_DATE,CHANGED_BY,CHANGED_DATE,TWIST,plainnotes,tail_length
0,1000000,1000000,P,0.0,,0.0,26.0,CN,K,K,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,,18.5
1,1000001,1000001,P,0.0,nudo de comienzo entre 0.0 - 0.5 cm,0.0,16.5,CN,K,T,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,nudo de comienzo entre 0.0 - 0.5 cm,11.0
2,1000002,1000002,P,0.0,solamente existe cordon principal entre: 0.0-5.0 y 5.5-9.0 cm,0.0,10.5,CL,,,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,solamente existe cordon principal entre: 0.0-5.0 y 5.5-9.0 cm,0.0
3,1000003,1000003,P,0.0,4.0 cm: nudo que une khipu 109B con up Top Cord del khipu 109A.,0.0,98.0,CN,K,K,cbrezine,2011-11-24 03:42:40,cbrezine,2003-05-29 16:40:36,S,4.0 cm: nudo que une khipu 109B con up Top Cord del khipu 109A.,0.5
4,1000004,1000004,P,0.0,65.5 cm: una prolongacion del cordon principal /o pen. 157,0.0,65.5,CN,K,T,cbrezine,2011-11-24 03:42:40,cbrezine,2004-03-03 20:05:20,S,65.5 cm: una prolongacion del cordon principal /o pen. 157,0.0
5,1000005,1000005,P,0.0,At 7.0 cm there is a knot which appears to unite two khipu,0.0,23.5,CN,K,K,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,At 7.0 cm there is a knot which appears to unite two khipu,3.0
6,1000006,1000006,P,0.0,,0.0,29.0,CN,,K,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,,7.0
7,1000007,1000007,P,0.0,,0.0,132.0,CN,K,,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,,59.5
8,1000008,1000008,P,0.0,The beginning knot joins this khipu to UR12 and UR15. The knot around 22.5 joins it with UR14. ,0.0,46.0,CN,K,K,cbrezine,2011-11-24 03:42:40,cbrezine,2003-06-05 15:57:20,S,The beginning knot joins this khipu to UR12 and UR15. The knot around 22.5 joins it with UR14. ,22.5
9,1000009,1000009,P,0.0,This khipu is attached to 257E/UR14 and to 257D/UR13,0.0,49.0,CN,K,,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,This khipu is attached to 257E/UR14 and to 257D/UR13,1.5
10,1000010,1000010,P,0.0,,0.0,56.0,CN,K,K,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,,2.0
11,1000011,1000011,P,0.0,,0.0,77.5,CN,K,,cbrezine,2011-11-24 03:42:40,,0000-00-00 00:00:00,S,,1.0
12,1000012,1000012,P,0.0,,0.0,39.5,CN,D,T,cbrezine,2011-11-24 03:42:40,gurton,2007-12-12 20:49:49,S,,0.0
13,1000013,1000013,,0.0,,0.0,30.0,,K,B,katie,2011-11-24 03:42:40,katie,2003-06-11 16:20:32,U,,11.0
14,1000014,1000014,,0.0,,0.0,77.0,,K,T,katie,2011-11-24 03:42:40,katie,2003-06-25 14:58:04,U,,53.0
15,1000015,1000015,,0.0,"The primary cord is actually broken into two pieces.  The ""marker"" at 12.0 cm is actually a break between separate pieces of the quipu which were not necessarily connected at that point.",0.0,16.5,,B,T,katie,2011-11-24 03:42:40,,0000-00-00 00:00:00,U,"The primary cord is actually broken into two pieces.  The ""marker"" at 12.0 cm is actually a break between separate pieces of the quipu which were not necessarily connected at that point.",3.0
16,1000016,1000016,W,0.0,The main cord is finished with a thread wrapping that extends for 1.0 cm.,0.0,71.5,,K,B,katie,2011-11-24 03:42:40,,0000-00-00 00:00:00,U,The main cord is finished with a thread wrapping that extends for 1.0 cm.,5.0
17,1000017,1000017,,0.0,,0.0,81.0,CN,K,T,katie,2011-11-24 03:42:40,,0000-00-00 00:00:00,U,,64.0
18,1000018,1000018,P,0.0,,0.0,100.0,CN,K,,katie,2011-11-24 03:42:40,cbrezine,2004-03-03 19:25:50,Z,,2.0
19,1000019,1000019,P,0.0,,0.0,90.0,CN,D,K,katie,2011-11-24 03:42:40,gurton,2010-04-07 14:25:52,S,,1.0
